inst	src	n_layers	n_equal	div_layer1based	our_div	ref_div	abs_gap	rel_gap_pct
setA-01	v2	160	1	2	0.729592	0.551952	0.177640	32.2
setA-02	v1	300	6	7	0.465630	0.461319	0.004311	0.9
setA-03	v2	500	1	2	0.638889	0.621622	0.017267	2.8
setA-04	v2	500	0	1	0.585430	0.581237	0.004193	0.7
setA-05	v1	792	5	6	0.099580	0.098108	0.001472	1.5
setA-06	v2	1000	0	1	0.109859	0.098591	0.011268	11.4
setA-07	v1	1000	1	2	0.708428	0.665017	0.043411	6.5
setA-08	v2	1308	1	2	0.306868	0.286410	0.020458	7.1
setA-09	v1	1500	5	6	0.457238	0.426074	0.031164	7.3
setA-10	v2	1932	0	1	0.092391	0.071739	0.020652	28.8
setA-11	v1	2000	1	2	0.651416	0.613543	0.037873	6.2
setA-12	v1	1796	8	9	0.017688	0.016443	0.001245	7.6
setA-13	v2	2000	0	1	0.135042	0.041025	0.094017	229.2
setA-14	v2	2216	0	1	0.533147	0.517621	0.015526	3.0
setA-15	v1	2500	13	14	0.490411	0.440081	0.050330	11.4
setA-16	v2	2904	0	1	0.393442	0.044262	0.349180	788.9
setA-17	v1	2540	8	9	0.237588	0.219246	0.018342	8.4
setA-18	v1	3000	10	11	0.398639	0.379532	0.019107	5.0
setA-19	v2	3996	0	1	0.564402	0.046838	0.517564	1105.0
setA-20	v1	4000	1	2	0.748872	0.745953	0.002919	0.4
