instance	valid	total_cost	max_mlu_rank	firstbit_tsv
setA-01	True	39	929383	929383
setA-02	True	39	903074	903074
setA-03	True	19	943543	943543
setA-04	True	43	581237	581237
setA-05	True	0	204985	204985
setA-06	True	10	105633	105633
setA-07	True	71	907989	907989
setA-08	True	10	318903	318903
setA-09	True	18	849650	849650
setA-10	True	0	123913	123913
setA-11	True	15	785788	785788
setA-12	True	13	879872	879872
setA-13	True	3	294871	294871
setA-14	True	12	517621	517621
setA-15	True	24	898695	898695
setA-16	True	3	758196	758196
setA-17	True	0	424192	424192
setA-18	True	0	999998	999998
setA-19	True	0	562060	562060
setA-20	True	39	991312	991312
