instance	n_arcs	n_demands	budget	sprint_first	ours_first	max_parity	rel_max_gap_pct	tie_layers	total_layers	first_gap_layer	gap_ours	gap_ref
setA-01	80	40	51	929383	929383	tie		1	160	2	591378	551952
setA-02	150	45	63	903074	903074	tie		6	300	7	465630	461319
setA-03	250	20	53	943543	943543	tie		1	500	2	647888	621622
setA-04	250	200	44	581237	581237	tie		1	500	2	580858	580857
setA-05	396	100	1	204985	204985	tie		8	792	9	91629	91045
setA-06	500	500	13	98591	105633	NOT	7.1	0	1000	1	105633	98591
setA-07	500	800	90	907989	907989	tie		11	1000	12	445884	441668
setA-08	654	200	13	318903	318903	tie		1	1308	2	306868	286410
setA-09	750	200	18	849650	849650	tie		4	1500	5	497412	464596
setA-10	966	1000	1	71739	97826	NOT	36.4	0	1932	1	97826	71739
setA-11	1000	400	89	785788	785788	tie		1	2000	2	644600	613543
setA-12	898	400	13	879872	879872	tie		8	1796	9	17709	16443
setA-13	1000	2000	12	41025	44871	NOT	9.4	0	2000	1	44871	41025
setA-14	1108	600	13	517621	517621	tie		5	2216	6	434209	423967
setA-15	1250	600	54	898695	898695	tie		15	2500	16	433137	368696
setA-16	1452	4800	13	44262	178688	NOT	303.7	0	2904	1	178688	44262
setA-17	1270	2000	1	424192	424192	tie		7	2540	8	253886	247575
setA-18	1500	2000	89	999998	999998	tie		6	3000	7	466193	442875
setA-19	1998	6000	13	46838	333489	NOT	612.0	0	3996	1	333489	46838
setA-20	2000	6000	90	991312	991312	tie		3	4000	4	598889	598800
