instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref
setA-01	8	929383	39	true	1	160	2	591378	551952
setA-02	10	903074	39	true	6	300	7	465630	461319
setA-03	8	943543	19	true	1	500	2	647888	621622
setA-04	26	581237	43	true	1	500	2	580858	580857
setA-05	12	204985	0	true	8	792	9	91629	91045
setA-06	45	105633	13	true	0	1000	1	105633	98591
setA-07	17	907989	71	true	11	1000	12	445884	441668
setA-08	14	318903	6	true	1	1308	2	306868	286410
setA-09	20	849650	18	true	4	1500	5	497412	464596
setA-10	30	97826	0	true	0	1932	1	97826	71739
setA-11	3	785788	15	true	1	2000	2	644600	613543
setA-12	10	879872	13	true	8	1796	9	17709	16443
setA-13	18	44871	11	true	0	2000	1	44871	41025
setA-14	5	517621	12	true	5	2216	6	434209	423967
setA-15	2	898695	24	true	15	2500	16	433137	368696
setA-16	5	178688	6	true	0	2904	1	178688	44262
setA-17	2	424192	0	true	7	2540	8	253886	247575
setA-18	0	999998	0	true	6	3000	7	466193	442875
setA-19	3	333489	0	true	0	3996	1	333489	46838
setA-20	1	991312	57	true	3	4000	4	598889	598800
