instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref
setA-01	17	929383	41	true	1	160	2	591378	551952
setA-02	13	903074	9	true	6	300	7	465630	461319
setA-03	19	943543	39	true	1	500	2	647888	621622
setA-04	32	581237	34	true	1	500	2	580858	580857
setA-05	15	204985	0	true	8	792	9	91629	91045
setA-06	38	119718	6	true	0	1000	1	119718	98591
setA-07	33	907989	76	true	11	1000	12	445884	441668
setA-08	18	318903	8	true	1	1308	2	306868	286410
setA-09	36	849650	13	true	4	1500	5	497412	464596
setA-10	30	86956	0	true	0	1932	1	86956	71739
setA-11	17	785788	89	true	1	2000	2	644600	613543
setA-12	20	879872	7	true	8	1796	9	17688	16443
setA-13	17	52991	8	true	0	2000	1	52991	41025
setA-14	17	517621	10	true	5	2216	6	434209	423967
setA-15	15	898695	47	true	13	2500	14	440400	440081
setA-16	6	204917	0	true	0	2904	1	204917	44262
setA-17	10	424192	0	true	24	2540	25	86546	85312
setA-18	9	999998	3	true	14	3000	15	351199	319692
setA-19	3	333489	0	true	0	3996	1	333489	46838
setA-20	0	999999	0	true	0	4000	1	999999	991312
