instance	budget	twin_firstbit	sticky_firstbit	fb_delta_twin_to_sticky	verdict	twin_tie	sticky_tie	m3_best_twin_180s
setA-01	51	929383	929383	0	EQ	1	1	
setA-02	63	903074	903074	0	EQ	6	6	
setA-03	53	943543	943543	0	EQ	1	1	
setA-04	44	581237	581237	0	EQ	1	1	
setA-05	1	204985	204985	0	EQ	8	8	
setA-06	13	105633	119718	14085	REGRESS	0	0	105633
setA-07	90	907989	907989	0	EQ	11	11	
setA-08	13	318903	318903	0	EQ	1	1	
setA-09	18	849650	849650	0	EQ	4	4	
setA-10	1	108695	86956	-21739	IMPROVE	0	0	97826
setA-11	89	785788	785788	0	EQ	1	1	
setA-12	13	879872	879872	0	EQ	8	8	
setA-13	12	66239	52991	-13248	IMPROVE	0	0	44871
setA-14	13	517621	517621	0	EQ	5	5	
setA-15	54	898695	898695	0	EQ	18	13	
setA-16	13	271721	204917	-66804	IMPROVE	0	0	178688
setA-17	1	424192	424192	0	EQ	24	24	
setA-18	89	999998	999998	0	EQ	12	14	
setA-19	13	562060	333489	-228571	IMPROVE	0	0	333489
setA-20	90	991312	999999	8687	REGRESS	3	0	
