instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref
setA-01	8	929383	39	true	1	160	2	591378	551952
setA-02	10	903074	39	true	6	300	7	465630	461319
setA-03	8	943543	19	true	1	500	2	647888	621622
setA-04	26	581237	43	true	1	500	2	580858	580857
setA-05	12	204985	0	true	8	792	9	91629	91045
setA-06	27	105633	10	true	0	1000	1	105633	98591
setA-07	18	907989	71	true	11	1000	12	445884	441668
setA-08	21	318903	10	true	1	1308	2	306868	286410
setA-09	24	849650	16	true	4	1500	5	497412	464596
setA-10	17	108695	0	true	0	1932	1	108695	71739
setA-11	13	785788	46	true	1	2000	2	644600	613543
setA-12	16	879872	13	true	8	1796	9	17593	16443
setA-13	8	66239	3	true	0	2000	1	66239	41025
setA-14	19	517621	12	true	5	2216	6	434209	423967
setA-15	10	898695	22	true	18	2500	19	365296	337125
setA-16	3	271721	6	true	0	2904	1	271721	44262
setA-17	10	424192	0	true	24	2540	25	86546	85312
setA-18	1	999998	6	true	12	3000	13	362677	359399
setA-19	1	562060	0	true	0	3996	1	562060	46838
setA-20	2	991312	39	true	3	4000	4	598802	598800
