instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref
setA-01	24	929383	49	true	1	160	2	591378	551952
setA-02	10	903074	9	true	6	300	7	465630	461319
setA-03	19	943543	40	true	1	500	2	647888	621622
setA-04	23	581237	36	true	1	500	2	580858	580857
setA-05	14	204985	0	true	4	792	5	104123	103801
setA-06	52	119718	7	true	0	1000	1	119718	98591
setA-07	49	907989	62	true	8	1000	9	468390	468289
setA-08	27	318903	9	true	1	1308	2	306868	286410
setA-09	30	849650	18	true	3	1500	4	509875	505384
setA-10	79	86956	0	true	0	1932	1	86956	71739
setA-11	42	785788	87	true	1	2000	2	644600	613543
setA-12	31	879872	10	true	8	1796	9	20235	16443
