instance	accepted	firstbit	total_cost	budget_ok	tie_layers	total_layers	first_gap_layer	ours	ref
setA-01	14	929383	33	true	1	160	2	591378	551952
setA-02	8	903074	30	true	6	300	7	465630	461319
setA-03	7	943543	15	true	1	500	2	647888	621622
setA-04	21	581237	44	true	1	500	2	580858	580857
setA-05	21	204985	0	true	8	792	9	91629	91045
setA-06	50	105633	13	true	0	1000	1	105633	98591
setA-07	51	907989	69	true	10	1000	11	459569	452498
setA-08	27	318903	12	true	1	1308	2	306868	286410
setA-09	35	849650	15	true	4	1500	5	497412	464596
setA-10	72	86956	0	true	0	1932	1	86956	71739
setA-11	34	785788	85	true	1	2000	2	644600	613543
setA-12	32	879872	13	true	8	1796	9	17593	16443
setA-13	64	44871	8	true	0	2000	1	44871	41025
setA-14	31	517621	13	true	5	2216	6	434209	423967
setA-15	36	898695	45	true	18	2500	19	350868	337125
