slot	arc	load	sat	lb	source	proven	demands
1	163	161.9998	0.9999987654320988	161.9998	bridge	false	20
1	507	99.8275	0.7130535714285714	99.8275	sink-dom	false	6
0	276	108.3055	0.6333654970760234	108.3055	source-dom	false	9
0	163	99.59849999999999	0.6148055555555555	99.59849999999999	bridge	false	19
1	436	142.67629999999997	0.4971299651567943	142.67629999999997	source-dom	false	13
1	84	124.116	0.48864566929133857	124.116	source-dom	false	12
1	597	109.8331	0.4428754032258065	109.8331	sink-dom	false	12
0	407	85.0097	0.4404647668393782	85.0097	sink-dom	false	15
1	407	81.8018	0.4238435233160622	81.8018	sink-dom	false	14
1	276	70.8035	0.41405555555555557	70.8035	source-dom	false	9
0	459	110.44399999999997	0.3795326460481099	110.44399999999997	bridge	false	14
0	84	94.0227	0.3701681102362205	94.0227	source-dom	false	12
1	162	203.7794	0.35939929453262787	203.7794	bridge	false	17
1	459	103.7991	0.3566979381443299	103.7991	bridge	false	15
0	153	84.3987	0.3196920454545455	84.3987	sink-dom	false	10
0	436	88.82910000000001	0.3095090592334495	88.82910000000001	source-dom	false	13
0	437	120.6025	0.2734750566893424	120.6025	sink-dom	false	12
1	304	141.3776	0.2682686907020873	141.3776	source-dom	false	11
0	317	99.5218	0.26753172043010753	99.5218	sink-dom	false	7
0	113	74.4695	0.25947560975609757	74.4695	sink-dom	false	6
0	308	79.9688	0.25549137380191694	79.9688	source-dom	false	7
0	402	102.6534	0.252219656019656	102.6534	source-dom	false	14
0	507	34.447	0.24605000000000002	34.447	sink-dom	false	6
0	375	98.0706	0.24579097744360903	98.0706	sink-dom	false	8
0	152	82.1073	0.2373043352601156	82.1073	source-dom	false	8
0	597	58.7355	0.2368366935483871	58.7355	sink-dom	false	12
1	402	95.3212	0.23420442260442262	95.3212	source-dom	false	14
1	437	92.3422	0.20939274376417236	92.3422	sink-dom	false	13
1	251	79.8925	0.19873756218905472	79.8925	sink-dom	false	6
0	591	86.23190000000001	0.19823425287356325	85.0862	sink-dom	false	8
0	162	110.1386	0.1942479717813051	110.1386	bridge	false	17
1	316	65.4568	0.19365917159763313	65.4568	source-dom	false	7
0	576	102.5007	0.1898161111111111	102.5007	source-dom	false	10
0	458	178.95640000000003	0.18857365648050584	178.95640000000003	bridge	false	25
0	563	183.8445	0.1858892821031345	183.8445	sink-dom	false	14
1	152	62.7836	0.18145549132947977	62.7836	source-dom	false	8
1	217	129.3098	0.18085286713286713	129.3098	sink-dom	false	9
1	469	71.79620000000001	0.1777133663366337	71.79620000000001	sink-dom	false	9
1	386	72.5601	0.17032887323943663	72.5601	source-dom	false	6
1	167	80.9617	0.1690223382045929	80.9617	sink-dom	false	6
0	157	70.5742	0.16763467933491688	70.5742	sink-dom	false	7
1	194	111.9717	0.16662455357142858	111.9717	source-dom	false	10
1	591	72.1019	0.16575149425287355	67.0609	sink-dom	false	8
0	149	105.17399999999999	0.1651083202511774	105.17399999999999	sink-dom	false	13
1	594	108.61099999999999	0.1645621212121212	108.61099999999999	source-dom	false	10
1	85	65.60960000000001	0.16199901234567904	65.60960000000001	sink-dom	false	7
1	375	63.6239	0.15945839598997494	63.6239	sink-dom	false	8
0	394	83.02420000000001	0.15814133333333336	83.02420000000001	source-dom	false	8
1	157	66.1442	0.15711211401425176	66.1442	sink-dom	false	7
