slot	arc	load	sat	lb	source	proven	demands
4	840	415.5117599999999	0.48883736470588224	415.5117599999999	dodge	false	71
6	840	404.27944199999996	0.47562287294117644	404.27944199999996	dodge	false	71
5	840	400.8543459999999	0.47159334823529403	400.8543459999999	dodge	false	71
7	840	391.3177849999999	0.46037386470588226	391.3177849999999	dodge	false	71
3	840	387.8087309999999	0.4562455658823528	387.8087309999999	dodge	false	72
11	840	361.12988799999994	0.4248586917647058	361.12988799999994	dodge	false	71
1	840	361.079517	0.4247994317647059	361.079517	dodge	false	72
10	840	360.05534599999993	0.42359452470588227	360.05534599999993	dodge	false	71
8	840	352.080234	0.41421204	352.080234	dodge	false	71
9	840	344.77671199999986	0.4056196611764704	344.77671199999986	dodge	false	71
0	840	343.9970990000001	0.40470246941176485	343.9970990000001	dodge	false	112
2	840	339.017836	0.39884451294117645	339.017836	dodge	false	72
10	1055	142.074531	0.01516270341515475	142.074531	sink-dom	false	48
11	1055	139.253859	0.014861671184631805	139.253859	sink-dom	false	48
9	1055	139.16991199999995	0.014852712059765204	139.16991199999995	sink-dom	false	48
6	1055	129.11287600000003	0.01377938911419424	129.11287600000003	sink-dom	false	48
5	1055	123.13573999999998	0.013141487726787618	123.13573999999998	sink-dom	false	48
8	1055	122.07798500000001	0.01302860032017076	122.07798500000001	sink-dom	false	48
4	1055	121.62466200000001	0.012980220064034154	121.62466200000001	sink-dom	false	48
3	301	123.87448600000002	0.01293323094591773	123.87448600000002	source-dom	false	47
0	301	120.32178099999999	0.012562307475464605	120.32178099999999	source-dom	false	75
1	301	119.08941600000001	0.012433641261223639	119.08941600000001	source-dom	false	47
2	301	118.568937	0.012379300167049488	118.568937	source-dom	false	47
2	1055	115.04309600000002	0.012277811739594453	115.04309600000002	sink-dom	false	48
3	1055	113.48165300000001	0.012111168943436501	113.48165300000001	sink-dom	false	48
1	1055	112.89401699999999	0.012048454322305228	112.89401699999999	sink-dom	false	48
0	1055	111.989187	0.011951887620064034	111.989187	sink-dom	false	70
7	1055	111.70194500000001	0.01192123212379936	111.70194500000001	sink-dom	false	48
4	301	106.32923800000003	0.011101403006890794	106.32923800000003	source-dom	false	47
7	301	105.64085999999999	0.011029532261432448	105.64085999999999	source-dom	false	47
5	301	99.47903500000002	0.010386201190227607	99.47903500000002	source-dom	false	47
6	301	92.89747100000002	0.009699046878262688	92.89747100000002	source-dom	false	47
8	301	84.15003200000004	0.00878576237210274	84.15003200000004	source-dom	false	47
9	301	71.67527600000001	0.007483323867195658	71.67527600000001	source-dom	false	47
10	301	68.26696500000001	0.007127475986636042	68.26696500000001	source-dom	false	47
11	301	61.635030000000015	0.006435062643558156	61.635030000000015	source-dom	false	47
9	122	51.12466900000001	0.005194540642145907	51.12466900000001	sink-dom	false	32
11	122	51.07430000000001	0.005189422881528146	51.07430000000001	sink-dom	false	32
10	122	49.73112500000002	0.005052949095712256	49.73112500000002	sink-dom	false	32
7	122	47.09514000000001	0.004785118878276774	47.09514000000001	sink-dom	false	32
6	122	47.04477100000001	0.0047800011176590135	47.04477100000001	sink-dom	false	32
0	122	46.771921999999996	0.004752278195488721	46.771921999999996	sink-dom	false	69
8	122	46.608238	0.004735647022962812	46.608238	sink-dom	false	32
2	122	44.022622	0.004472934566145092	44.022622	sink-dom	false	33
4	122	43.854729999999996	0.004455875838244259	43.854729999999996	sink-dom	false	33
1	122	43.821146999999996	0.0044524636252794144	43.821146999999996	sink-dom	false	34
5	122	43.132769	0.004382520727494412	43.132769	sink-dom	false	33
3	122	42.49476	0.004317695590327169	42.49476	sink-dom	false	33
6	1460	0.453322	0.00013372330383480826	0.453322	sink-dom	false	1
5	1460	0.402953	0.00011886519174041298	0.402953	sink-dom	false	1
7	1460	0.402953	0.00011886519174041298	0.402953	sink-dom	false	1
8	1460	0.386163	0.00011391238938053097	0.386163	sink-dom	false	1
2	1460	0.369374	0.0001089598820058997	0.369374	sink-dom	false	1
4	1460	0.352584	0.0001040070796460177	0.352584	sink-dom	false	1
9	1460	0.319005	9.410176991150442e-05	0.319005	sink-dom	false	1
3	1460	0.285425	8.41961651917404e-05	0.285425	sink-dom	false	1
10	1460	0.268635	7.924336283185842e-05	0.268635	sink-dom	false	1
11	1460	0.268635	7.924336283185842e-05	0.268635	sink-dom	false	1
1	1460	0.251846	7.429085545722715e-05	0.251846	sink-dom	false	1
8	1480	0.184687	6.789963235294118e-05	0.184687	bridge	false	1
7	1480	0.167897	6.172683823529411e-05	0.167897	bridge	false	1
9	1480	0.167897	6.172683823529411e-05	0.167897	bridge	false	1
5	1480	0.151107	5.555404411764705e-05	0.151107	bridge	false	1
0	1460	0.188107	5.548879056047197e-05	0.188107	sink-dom	false	1
4	1480	0.134318	4.9381617647058824e-05	0.134318	bridge	false	1
6	1480	0.134318	4.9381617647058824e-05	0.134318	bridge	false	1
11	1480	0.134318	4.9381617647058824e-05	0.134318	bridge	false	1
1	1480	0.117528	4.320882352941176e-05	0.117528	bridge	false	1
10	1480	0.117528	4.320882352941176e-05	0.117528	bridge	false	1
0	1480	0.105848	3.891470588235294e-05	0.105848	bridge	false	1
2	1480	0.100738	3.7036029411764706e-05	0.100738	bridge	false	1
3	1480	0.100738	3.7036029411764706e-05	0.100738	bridge	false	1
9	1011	0.083949	2.654094214353462e-05	0.083949	sink-dom	false	1
8	1011	0.067159	2.123269048371799e-05	0.067159	sink-dom	false	1
10	1011	0.067159	2.123269048371799e-05	0.067159	sink-dom	false	1
11	1011	0.067159	2.123269048371799e-05	0.067159	sink-dom	false	1
7	1011	0.050369	1.592443882390136e-05	0.050369	sink-dom	false	1
