instance	off_accepted	off_firstbit	off_tie	off_gaplayer	off_gap_ours	off_gap_ref	on_accepted	on_firstbit	on_tie	on_gaplayer	on_gap_ours	on_gap_ref	on_skip_accepted	on_skip_firstbit	on_skip_tie	on_skip_gaplayer	on_skip_gap_ours	on_skip_gap_ref	on100_accepted	on100_firstbit	on100_tie	on100_gaplayer	on100_gap_ours	on100_gap_ref	firstbit_same	tie_delta(on-on_skip)
setA-01	17	929383	1	2	591378	551952	14	929383	1	2	591378	551952	14	929383	1	2	591378	551952	24	929383	1	2	591378	551952	yes	0.0
setA-02	13	903074	6	7	465630	461319	8	903074	6	7	465630	461319	8	903074	6	7	465630	461319	10	903074	6	7	465630	461319	yes	0.0
setA-03	19	943543	1	2	647888	621622	7	943543	1	2	647888	621622	7	943543	1	2	647888	621622	19	943543	1	2	647888	621622	yes	0.0
setA-04	32	581237	1	2	580858	580857	21	581237	1	2	580858	580857	21	581237	1	2	580858	580857	23	581237	1	2	580858	580857	yes	0.0
setA-05	15	204985	8	9	91629	91045	21	204985	8	9	91629	91045	21	204985	8	9	91629	91045	14	204985	4	5	104123	103801	yes	0.0
setA-06	52	119718	0	1	119718	98591	50	105633	0	1	105633	98591	50	105633	0	1	105633	98591	52	119718	0	1	119718	98591	no	0.0
setA-07	55	907989	11	12	445884	441668	51	907989	10	11	459569	452498	51	907989	10	11	459569	452498	49	907989	8	9	468390	468289	yes	0.0
setA-08	18	318903	1	2	306868	286410	27	318903	1	2	306868	286410	27	318903	1	2	306868	286410	27	318903	1	2	306868	286410	yes	0.0
setA-09	36	849650	4	5	497412	464596	35	849650	4	5	497412	464596	35	849650	4	5	497412	464596	30	849650	3	4	509875	505384	yes	0.0
setA-10	79	86956	0	1	86956	71739	72	86956	0	1	86956	71739	72	86956	0	1	86956	71739	79	86956	0	1	86956	71739	yes	0.0
setA-11	30	785788	1	2	644600	613543	34	785788	1	2	644600	613543	34	785788	1	2	644600	613543	42	785788	1	2	644600	613543	yes	0.0
setA-12	22	879872	8	9	17688	16443	32	879872	8	9	17593	16443	32	879872	8	9	17593	16443	31	879872	8	9	20235	16443	yes	0.0
setA-13	62	41025	4	5	38461	27350	64	44871	0	1	44871	41025	64	44871	0	1	44871	41025	NA	NA	NA	NA	NA	NA	no	NA
setA-14	21	517621	5	6	434209	423967	31	517621	5	6	434209	423967	31	517621	5	6	434209	423967	NA	NA	NA	NA	NA	NA	no	NA
setA-15	40	898695	13	14	440400	440081	36	898695	18	19	350868	337125	36	898695	18	19	350868	337125	NA	NA	NA	NA	NA	NA	no	NA
setA-16	86	61475	0	1	61475	44262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no	NA

arm	n	firstbit_sum	tie_sum	first_layer1_gaps
off	16	9029914	64.0	3
on	15	8958200	64.0	3
on_skip	15	8958200	64.0	3
on100	12	7511098	34.0	2
