instance	maxdeep	elapsed	cells	deep	floors	proven	lb_rank
setA-01	0	0.00	95	95	9	0	929383
setA-01	100	0.00	95	95	9	0	929383
setA-01	300	0.00	95	95	9	0	929383
setA-01	600	0.00	95	95	9	0	929383
setA-01	1200	0.00	95	95	9	0	929383
setA-02	0	0.01	139	139	16	0	548578
setA-02	100	0.01	139	100	16	0	548578
setA-02	300	0.01	139	139	16	0	548578
setA-02	600	0.01	139	139	16	0	548578
setA-02	1200	0.01	139	139	16	0	548578
setA-03	0	0.02	100	100	16	0	437986
setA-03	100	0.02	100	100	16	0	437986
setA-03	300	0.02	100	100	16	0	437986
setA-03	600	0.02	100	100	16	0	437986
setA-03	1200	0.02	100	100	16	0	437986
setA-04	0	0.06	333	333	22	0	408062
setA-04	100	0.02	333	100	22	0	408062
setA-04	300	0.06	333	300	22	0	408062
setA-04	600	0.06	333	333	22	0	408062
setA-04	1200	0.06	333	333	22	0	408062
setA-05	0	0.37	438	438	26	0	204985
setA-05	100	0.08	438	100	26	0	204985
setA-05	300	0.25	438	300	26	0	204985
setA-05	600	0.36	438	438	26	0	204985
setA-05	1200	0.37	438	438	26	0	204985
setA-06	0	0.37	785	785	0	0	0
setA-06	100	0.07	785	100	0	0	0
setA-06	300	0.17	785	300	0	0	0
setA-06	600	0.31	785	600	0	0	0
setA-06	1200	0.38	785	785	0	0	0
setA-07	0	0.51	749	749	52	0	907989
setA-07	100	0.10	749	100	52	0	907989
setA-07	300	0.26	749	300	52	0	907989
setA-07	600	0.43	749	600	52	0	907989
setA-07	1200	0.66	749	749	52	0	907989
setA-08	0	1.95	724	724	10	0	318903
setA-08	100	0.22	724	100	10	0	318903
setA-08	300	0.60	724	300	10	0	318903
setA-08	600	1.26	724	600	10	0	318903
setA-08	1200	1.52	724	724	10	0	318903
setA-09	0	1.31	769	769	75	0	849650
setA-09	100	0.20	769	100	75	0	849650
setA-09	300	0.56	769	300	75	0	849650
setA-09	600	1.03	769	600	75	0	849650
setA-09	1200	1.32	769	769	75	0	849650
setA-10	0	1.45	1432	1432	0	0	0
setA-10	100	0.18	1432	100	0	0	0
setA-10	300	0.46	1432	300	0	0	0
setA-10	600	0.80	1432	600	0	0	0
setA-10	1200	1.34	1432	1200	0	0	0
setA-11	0	3.99	1259	1259	96	0	785788
setA-11	100	0.47	1259	100	96	0	785788
setA-11	300	1.09	1259	300	96	0	785788
setA-11	600	2.01	1259	600	96	0	785788
setA-11	1200	3.68	1259	1200	96	0	785788
setA-12	0	4.34	1208	1208	25	0	879872
setA-12	100	0.32	1208	100	25	0	879872
setA-12	300	1.00	1208	300	25	0	879872
setA-12	600	2.08	1208	600	25	0	879872
setA-12	1200	4.37	1208	1200	25	0	879872
setA-13	0	3.40	1741	1741	0	0	0
setA-13	100	0.34	1741	100	0	0	0
setA-13	300	0.80	1741	300	0	0	0
setA-13	600	1.44	1741	600	0	0	0
setA-13	1200	2.73	1741	1200	0	0	0
setA-14	0	9.37	1574	1574	20	0	493684
setA-14	100	0.50	1574	100	20	0	493684
setA-14	300	1.42	1574	300	20	0	493684
setA-14	600	3.37	1574	600	20	0	493684
setA-14	1200	7.06	1574	1200	20	0	493684
setA-15	0	7.86	1650	1650	130	0	898695
setA-15	100	0.65	1650	100	130	0	898695
setA-15	300	1.75	1650	300	130	0	898695
setA-15	600	3.34	1650	600	130	0	898695
setA-15	1200	6.08	1650	1200	130	0	898695
setA-16	0	7.41	2488	2488	0	0	0
setA-16	100	0.60	2488	100	0	0	0
setA-16	300	1.38	2488	300	0	0	0
setA-16	600	2.51	2488	600	0	0	0
setA-16	1200	4.50	2488	1200	0	0	0
setA-17	0	15.00	2172	1832	56	0	424192
setA-17	100	0.98	2172	100	56	0	424192
setA-17	300	2.27	2172	300	56	0	424192
setA-17	600	4.58	2172	600	56	0	424192
setA-17	1200	9.53	2172	1200	56	0	424192
setA-18	0	15.01	2359	1946	178	0	999998
setA-18	100	1.15	2359	100	178	0	999998
setA-18	300	2.93	2359	300	178	0	999998
setA-18	600	5.41	2359	600	178	0	999998
setA-18	1200	9.68	2359	1200	178	0	999998
setA-19	0	14.10	3392	3392	0	0	0
setA-19	100	0.77	3392	100	0	0	0
setA-19	300	1.97	3392	300	0	0	0
setA-19	600	3.77	3392	600	0	0	0
setA-19	1200	6.83	3392	1200	0	0	0
setA-20	0	15.00	3473	931	224	0	991312
setA-20	100	2.32	3473	100	222	0	991312
setA-20	300	5.77	3473	300	223	0	991312
setA-20	600	10.30	3473	600	224	0	991312
setA-20	1200	15.04	3473	931	224	0	991312
