instance	maxdeep	elapsed	cells	deep	floors	proven	lb_rank
setB-01	0	15.01	5166	2465	419	0	141921
setB-01	1	0.21	5166	1	384	0	141921
setB-01	100	1.18	5166	100	384	0	141921
setB-02	0	15.01	22670	852	1035	0	1000000
setB-02	1	1.37	22670	1	1012	0	1000000
setB-02	100	4.38	22670	100	1017	0	1000000
setB-03	0	15.01	14971	741	1349	0	1000000
setB-03	1	1.18	14971	1	1348	0	1000000
setB-03	100	3.75	14971	100	1348	0	1000000
setB-04	0	15.02	18209	1047	9	0	402750
setB-04	1	0.84	18209	1	9	0	402750
setB-04	100	2.94	18209	100	9	0	402750
setB-05	0	15.00	4528	637	159	0	488837
setB-05	1	0.54	4528	1	128	0	15162
setB-05	100	5.29	4528	100	140	0	488837
setB-06	0	15.02	20522	243	1999	0	1000000
setB-06	1	2.84	20522	1	1999	0	1000000
setB-06	100	8.58	20522	100	1999	0	1000000
setB-07	0	15.00	25822	426	15	0	664909
setB-07	1	2.10	25822	1	15	0	664909
setB-07	100	5.83	25822	100	15	0	664909
setB-08	0	15.20	36651	60	2795	0	1000001
setB-08	1	6.11	36651	1	2795	0	1000001
setB-08	100	15.09	36651	60	2795	0	1000001
setB-09	0	15.05	27504	87	2054	0	1000001
setB-09	1	4.94	27504	1	2054	0	1000001
setB-09	100	15.17	27504	88	2054	0	1000001
setB-10	0	15.06	18348	89	413	0	992426
setB-10	1	2.59	18348	1	413	0	992426
setB-10	100	15.03	18348	93	413	0	992426
setB-11	0	15.00	40869	61	103	0	363609
setB-11	1	7.40	40869	1	103	0	363609
setB-11	100	15.01	40869	59	103	0	363609
setB-12	0	15.19	27076	50	153	0	216874
setB-12	1	5.73	27076	1	153	0	216874
setB-12	100	15.23	27076	50	153	0	216874
