instance	elapsed	cells	deep	floors	proven	revoked	timeout	lb_rank	start_rank
setA-01	0.02	95	95	9	0	0	false	929383	1000000
setA-02	0.01	139	139	16	0	0	false	548578	1098078
setA-03	0.02	100	100	16	0	0	false	437986	1000001
setA-04	0.07	333	333	22	0	0	false	408062	1000000
setA-05	0.39	438	438	26	0	0	false	204985	999986
setA-06	0.37	785	785	0	0	0	false	0	1000000
setA-07	0.57	749	749	52	0	0	false	907989	1000000
setA-08	1.56	724	724	10	0	0	false	318903	1000000
setA-09	1.36	769	769	75	0	0	false	849650	1000000
setA-10	1.46	1432	1432	0	0	0	false	0	1000000
setA-11	3.91	1259	1259	96	0	0	false	785788	1000000
setA-12	5.27	1208	1208	25	0	0	false	879872	1000110
setA-13	3.60	1741	1741	0	0	0	false	0	999999
setA-14	9.69	1574	1574	20	0	0	false	493684	1000000
setA-15	8.29	1650	1650	130	0	0	false	898695	1000000
setA-16	7.66	2488	2488	0	0	0	false	0	999999
setA-17	15.01	2172	1782	56	0	0	true	424192	1000075
setA-18	15.00	2359	1992	178	0	0	true	999998	999998
setA-19	14.52	3392	3392	0	0	0	false	0	999999
setA-20	15.00	3473	888	224	0	0	true	991312	999999
setB-01	15.00	5166	2370	415	0	0	true	141921	999998
setB-02	15.05	22670	794	1035	0	0	true	1000000	1000000
setB-03	15.03	14971	714	1349	0	0	true	1000000	1000000
setB-04	15.02	18209	1005	9	0	0	true	402750	1000000
setB-05	15.01	4528	603	156	0	0	true	488837	1000000
setB-06	15.10	20522	235	1999	0	0	true	1000000	1000000
setB-07	15.06	25822	403	15	0	0	true	664909	1000000
setB-08	15.20	36651	55	2795	0	0	true	1000001	1000001
setB-09	15.01	27504	82	2054	0	0	true	1000001	1000001
setB-10	15.00	18348	86	413	0	0	true	992426	1000000
setB-11	15.26	40869	50	103	0	0	true	363609	1000000
setB-12	15.19	27076	45	153	0	0	true	216874	1000000
