instance	n	families	cands_per_fam	w1_per_fam	w2_per_fam	ms_per_fam	empty_fams	recall_pct	recall_hit	recall_k	relief_capture	bfs_on	bfs_off	bfs_ratio	ms_on	ms_off	ms_ratio	determinism	neutrality
setA-01	20	22	28.640	5.910	22.730	0.280	3	76.900	120	156	1.000	40	1608	40.200	34.400	35.200	1.023	PASS	PASS
setA-02	30	14	46.000	14.000	32.000	0.690	0	77.400	130	168	1.000	28	732	26.143	55.700	56.000	1.005	PASS	PASS
setA-03	50	6	46.170	14.170	32.000	0.750	0	51.400	37	72	1.000	21	396	18.857	29.000	31.300	1.079	PASS	PASS
setA-04	50	56	25.820	5.070	20.750	0.630	4	45.300	196	433	0.938	69	3318	48.087	224.200	230.500	1.028	PASS	PASS
setA-05	100	8	36.120	12.120	24.000	1.190	2	27.800	20	72	1.000	27	480	17.778	42.100	44.800	1.064	PASS	PASS
setA-06	100	48	39.560	8.600	30.960	1.150	0	26.000	150	576	1.000	76	2424	31.895	280.900	292.500	1.041	PASS	PASS
setA-07	100	60	31.530	7.380	24.150	1.150	12	21.700	119	548	1.000	81	3552	43.852	360.500	381.800	1.059	PASS	PASS
setA-08	150	8	47.620	15.620	32.000	1.850	0	28.100	27	96	1.000	28	480	17.143	63.000	62.700	0.995	PASS	PASS
setA-09	150	20	17.600	4.800	12.800	1.160	12	17.700	17	96	1.000	40	1368	34.200	131.300	141.700	1.079	PASS	PASS
setA-10	150	60	32.030	5.400	26.630	1.980	0	16.100	116	720	0.980	93	2736	29.419	547.800	567.200	1.035	PASS	PASS
setA-11	200	25	20.680	3.760	16.920	1.430	10	15.600	28	180	1.000	41	1632	39.805	205.900	233.700	1.135	PASS	PASS
setA-12	200	14	17.790	3.710	14.070	2.120	4	41.700	20	48	1.000	29	744	25.655	105.200	118.400	1.125	PASS	PASS
setA-13	200	60	29.580	5.550	24.030	1.940	4	15.500	92	592	0.937	96	2880	30.000	526.500	523.400	0.994	PASS	PASS
setA-14	250	11	44.360	12.360	32.000	2.070	0	15.200	20	132	1.000	25	654	26.160	126.600	115.800	0.915	PASS	PASS
setA-15	250	38	6.530	1.110	5.420	2.040	30	3.100	3	96	1.000	58	2280	39.310	326.800	326.500	0.999	PASS	PASS
setA-16	250	60	28.530	5.420	23.120	2.360	3	12.700	82	645	0.920	94	2880	30.638	555.200	624.100	1.124	PASS	PASS
setA-17	300	35	6.660	2.090	4.570	1.980	30	10.000	6	60	1.000	53	2100	39.623	308.900	332.600	1.077	PASS	PASS
setA-18	300	60	0.000	0.000	0.000	2.350	60	0.000	0	0		80	3816	47.700	584.300	638.700	1.093	PASS	PASS
setA-19	300	60	35.620	7.180	28.430	3.050	0	5.600	40	720	1.000	108	2880	26.667	794.500	878.500	1.106	PASS	PASS
setA-20	400	60	12.180	1.080	11.100	3.150	32	11.300	38	336	1.000	81	3600	44.444	749.700	848.600	1.132	PASS	PASS
