demand	src	tgt	slot	nhot	n_w1	n_w2	top_rel	ms	relieving	recall_k	recall_hit	legacy_top	cand_top	tags
44	205	242	1	3	7	32	8.196700000	1.57	68	12	0	8.196700000	8.196700000	hot_center=6,mix=32,offhot=1
91	31	135	0	3	14	32	8.196700000	4.01	163	12	2	8.196700000	8.196700000	bottleneck=1,hot_center=6,mix=32,od_scan=6,offhot=1
91	31	135	1	3	14	32	12.295100000	5.02	163	12	1	12.295100000	12.295100000	bottleneck=1,hot_center=6,mix=32,od_scan=6,offhot=1
117	210	116	0	3	12	32	24.590200000	3.12	95	12	3	24.590200000	24.590200000	hot_center=3,mix=32,od_scan=8,offhot=1
131	176	241	0	3	9	32	28.688500000	3.56	202	12	0	28.688500000	28.688500000	bottleneck=1,hot_center=2,mix=32,od_scan=5,offhot=1
131	176	241	1	3	9	32	32.786900000	3.00	202	12	0	32.786900000	32.786900000	bottleneck=1,hot_center=2,mix=32,od_scan=5,offhot=1
144	130	175	0	3	2	0	8.196700000	1.00	39	12	2	8.196700000	8.196700000	bottleneck=1,offhot=1
144	130	175	1	3	2	0	16.393400000	2.00	39	12	1	16.393400000	16.393400000	bottleneck=1,offhot=1
145	3	47	0	3	0	0	0.000000000	2.52	1	1	0	16.393400000	0.000000000	
172	195	150	0	3	8	32	16.393400000	2.00	173	12	1	16.393400000	16.393400000	bottleneck=1,hot_center=4,mix=32,od_scan=3
172	195	150	1	3	7	32	8.196700000	2.01	173	12	1	8.196700000	8.196700000	bottleneck=1,hot_center=3,mix=32,od_scan=3
198	203	47	0	3	0	0	0.000000000	2.00	1	1	0	40.983600000	0.000000000	
250	130	217	0	3	1	7	8.196700000	0.99	34	12	1	8.196700000	8.196700000	hot_center=1,mix=7
250	130	217	1	3	2	7	20.491800000	1.00	34	12	1	20.491800000	20.491800000	hot_center=1,mix=7,offhot=1
301	92	182	1	3	6	32	36.885200000	2.00	93	12	1	36.885200000	36.885200000	hot_center=3,mix=32,od_scan=3
334	92	52	1	3	5	32	4.098400000	2.00	93	12	0	4.098400000	4.098400000	hot_center=3,mix=32,od_scan=2
398	130	116	0	3	10	32	12.295100000	3.00	102	12	1	12.295100000	12.295100000	bottleneck=1,hot_center=4,mix=32,od_scan=5
398	130	116	1	3	5	32	4.098400000	2.00	39	12	3	4.098400000	4.098400000	bottleneck=1,hot_center=2,mix=32,od_scan=2
487	214	221	0	3	5	32	28.688500000	2.00	158	12	1	28.688500000	28.688500000	bottleneck=1,hot_center=1,mix=32,od_scan=2,offhot=1
487	214	221	1	3	5	32	32.786900000	2.00	158	12	2	32.786900000	32.786900000	bottleneck=1,hot_center=1,mix=32,od_scan=2,offhot=1
502	49	130	0	3	1	0	36.885200000	1.00	38	12	0	36.885200000	36.885200000	bottleneck=1
502	49	130	1	3	2	0	16.393400000	1.00	38	12	0	16.393400000	16.393400000	bottleneck=1,offhot=1
543	57	68	0	3	4	32	24.590200000	1.99	134	12	3	24.590200000	24.590200000	hot_center=4,mix=32
543	57	68	1	3	3	32	12.295100000	1.96	134	12	2	12.295100000	12.295100000	hot_center=3,mix=32
564	172	165	1	3	13	32	32.786900000	5.01	240	12	2	32.786900000	32.786900000	bottleneck=1,hot_center=5,mix=32,od_scan=6,offhot=1
592	205	121	1	3	2	3	28.688500000	1.02	75	12	0	28.688500000	28.688500000	hot_center=2,mix=3
593	27	47	0	3	2	10	24.590200000	3.54	2	2	2	24.590200000	24.590200000	hot_center=2,mix=10
630	92	229	1	3	5	32	40.983600000	3.05	93	12	0	40.983600000	40.983600000	hot_center=3,mix=32,od_scan=2
714	64	47	0	3	0	3	12.295100000	3.65	1	1	0	12.295100000	0.000000000	mix=3
744	149	47	0	3	0	2	12.295100000	3.04	1	1	0	12.295100000	0.000000000	mix=2
776	208	68	0	3	4	27	24.590200000	3.01	134	12	1	24.590200000	24.590200000	hot_center=3,mix=27,offhot=1
776	208	68	1	3	4	27	16.393400000	3.54	134	12	1	16.393400000	16.393400000	hot_center=3,mix=27,offhot=1
808	155	214	0	3	5	27	28.688500000	2.51	160	12	1	28.688500000	28.688500000	hot_center=2,mix=27,od_scan=2,offhot=1
808	155	214	1	3	4	27	24.590200000	3.00	160	12	1	24.590200000	24.590200000	hot_center=2,mix=27,od_scan=2
820	135	113	0	3	9	32	16.393400000	5.00	173	12	2	16.393400000	16.393400000	bottleneck=1,hot_center=5,mix=32,od_scan=3
820	135	113	1	3	10	32	36.885200000	2.59	173	12	2	36.885200000	36.885200000	bottleneck=1,hot_center=5,mix=32,od_scan=3,offhot=1
843	119	130	0	3	5	32	8.196700000	1.00	39	12	3	8.196700000	8.196700000	hot_center=3,mix=32,od_scan=2
843	119	130	1	3	5	32	36.885200000	0.00	39	12	3	36.885200000	36.885200000	hot_center=3,mix=32,od_scan=2
872	131	150	0	3	6	32	28.688500000	2.00	172	12	1	28.688500000	28.688500000	hot_center=5,mix=32,od_scan=1
872	131	150	1	3	7	32	20.491800000	0.99	172	12	1	20.491800000	20.491800000	hot_center=5,mix=32,od_scan=1,offhot=1
888	123	33	0	3	9	32	16.393400000	3.01	225	12	0	16.393400000	16.393400000	hot_center=7,mix=32,od_scan=1,offhot=1
888	123	33	1	3	9	32	40.983600000	1.99	225	12	0	40.983600000	40.983600000	hot_center=7,mix=32,od_scan=1,offhot=1
889	130	54	0	3	7	32	4.098400000	2.56	39	12	6	4.098400000	4.098400000	hot_center=5,mix=32,od_scan=2
889	130	54	1	3	7	32	24.590200000	2.01	39	12	6	24.590200000	24.590200000	hot_center=5,mix=32,od_scan=2
898	41	47	0	3	1	1	20.491800000	1.01	2	2	1	20.491800000	20.491800000	hot_center=1,mix=1
906	25	116	0	3	8	32	24.590200000	2.05	95	12	2	24.590200000	24.590200000	hot_center=4,mix=32,od_scan=4
913	150	151	0	3	6	32	8.196700000	1.56	172	12	1	8.196700000	8.196700000	bottleneck=1,hot_center=5,mix=32
913	150	151	1	3	6	32	8.196700000	2.05	172	12	1	8.196700000	8.196700000	bottleneck=1,hot_center=5,mix=32
957	1	130	0	3	1	9	24.590200000	2.00	35	12	1	24.590200000	24.590200000	hot_center=1,mix=9
957	1	130	1	3	1	9	24.590200000	2.05	35	12	1	24.590200000	24.590200000	hot_center=1,mix=9
1010	135	73	0	3	8	32	32.786900000	2.60	173	12	3	32.786900000	32.786900000	bottleneck=1,hot_center=4,mix=32,od_scan=2,offhot=1
1010	135	73	1	3	8	32	12.295100000	2.54	173	12	3	12.295100000	12.295100000	bottleneck=1,hot_center=4,mix=32,od_scan=2,offhot=1
1028	130	106	0	3	5	32	4.098400000	2.00	39	12	3	4.098400000	4.098400000	bottleneck=1,hot_center=2,mix=32,od_scan=2
1028	130	106	1	3	5	32	16.393400000	1.99	39	12	3	16.393400000	16.393400000	bottleneck=1,hot_center=2,mix=32,od_scan=2
1031	156	47	0	3	0	0	0.000000000	2.00	1	1	0	16.393400000	0.000000000	
1059	92	22	1	3	11	32	28.688500000	3.00	93	12	2	28.688500000	28.688500000	bottleneck=1,hot_center=4,mix=32,od_scan=6
1104	58	130	0	3	2	6	36.885200000	1.99	35	12	2	36.885200000	36.885200000	hot_center=1,mix=6,offhot=1
1104	58	130	1	3	1	6	4.098400000	2.00	35	12	1	4.098400000	4.098400000	hot_center=1,mix=6
1109	187	33	0	3	8	32	32.786900000	3.53	225	12	0	32.786900000	32.786900000	hot_center=7,mix=32,offhot=1
1109	187	33	1	3	8	32	4.098400000	3.99	225	12	0	4.098400000	4.098400000	hot_center=6,mix=32,od_scan=1,offhot=1
