instance	w1_before	w1_after	recall_before	recall_after	capture_before	capture_after
setA-01	5.91	5.95	76.9	78.2	1.0000	1.0000
setA-02	14.00	14.93	77.4	84.5	1.0000	1.0000
setA-03	14.17	17.17	51.4	77.8	1.0000	1.0000
setA-04	5.07	7.05	45.3	71.1	0.9381	1.0000
setA-05	12.12	15.38	27.8	66.7	1.0000	1.0000
setA-06	8.60	13.85	26.0	69.4	1.0000	1.0000
setA-07	7.38	12.35	21.7	74.6	1.0000	1.0000
setA-08	15.62	20.50	28.1	70.8	1.0000	1.0000
setA-09	4.80	7.30	17.7	66.7	1.0000	1.0000
setA-10	5.40	11.32	16.1	65.4	0.9797	1.0000
setA-11	3.76	7.60	15.6	67.8	1.0000	1.0000
setA-12	3.71	5.07	41.7	83.3	1.0000	1.0000
setA-13	5.55	10.72	15.5	68.2	0.9371	1.0000
setA-14	12.36	19.00	15.2	70.5	1.0000	1.0000
setA-15	1.11	2.71	3.1	65.6	1.0000	1.0000
setA-16	5.42	11.37	12.7	67.4	0.9205	1.0000
setA-17	2.09	2.89	10.0	56.7	1.0000	1.0000
setA-18	0.00	0.00	0.0	0.0	-	-
setA-19	7.18	14.48	5.6	66.7	1.0000	1.0000
setA-20	1.08	3.88	11.3	61.3	1.0000	1.0000
