inst	L0free_z	L0free_live	L0free_dis	L0free_sum	L0_z	L0_live	L0_dis	L0_sum	L1_z	L1_live	L1_dis	L1_sum	L2_z	L2_live	L2_dis	L2_sum	n_locked	tie_layers	rel_max_gap_pct
setA-01	0.929384	1	0/1	1.0	0.929384	0	0/0	0.0	0.539311	1	0/1	1.0	0.520482	1	0/1	1.0	[2, 4, 1]	1	
setA-02	0.624267	2	1/2	1.0	0.624267	2	1/2	1.0	0.574135	1	0/1	1.0	0.573777	1	0/1	1.0	[4, 1, 1]	6	
setA-03	0.633661	2	0/2	1.0	0.633661	2	0/2	1.0	0.565574	1	0/1	1.0	0.437987	1	0/1	1.0	[4, 4, 4]	1	
setA-04	0.581144	2	1/2	1.0	0.581144	2	1/2	1.0	0.419194	2	1/2	1.0	0.417191	1	0/1	1.0	[4, 4, 2]	1	
setA-05	0.132436	1	0/1	1.0	0.204986	0	0/0	0.0	0.132436	1	0/1	1.0	0.125145	1	0/1	1.0	[1, 4, 1]	8	
setA-06	0.521127	1	0/1	1.0	0.521127	1	0/1	1.0	0.507042	1	1/1	1.0	0.464789	1	1/1	1.0	[3, 3, 1]	0	7.1
setA-07	0.907989	1	0/1	1.0	0.907989	0	0/0	0.0	0.662921	2	1/2	1.0	0.624265	1	0/1	1.0	[1, 3, 4]	11	
setA-08	0.343683	1	0/1	1.0	0.480791	0	0/0	0.0	0.343683	1	0/1	1.0	0.306868	1	0/1	1.0	[4, 2, 2]	1	
setA-09	0.588311	1	0/1	1.0	0.84965	0	0/0	0.0	0.588311	1	0/1	1.0	0.547354	1	0/1	1.0	[1, 4, 1]	4	
setA-10	0.426087	1	1/1	1.0	0.426087	1	1/1	1.0	0.408696	1	1/1	1.0	0.4	1	1/1	1.0	[4, 3, 1]	0	36.4
setA-11	0.613133	2	0/2	1.0	0.785789	0	0/0	0.0	0.492764	2	0/2	1.0	0.462997	2	0/2	1.0	[1, 3, 1]	1	
setA-12	0.578947	2	1/2	1.0	0.879873	0	0/0	0.0	0.416837	2	1/2	1.0	0.165284	2	1/2	1.0	[1, 4, 1]	8	
setA-13	0.438034	1	0/1	1.0	0.438034	1	0/1	1.0	0.397436	1	1/1	1.0	0.344017	1	1/1	1.0	[3, 2, 4]	0	9.4
setA-14	0.507448	2	0/2	1.0	0.54685	0	0/0	0.0	0.448132	2	0/2	1.0	0.31562	3	0/3	1.0	[4, 3, 2]	5	
setA-15	0.427931	1	0/1	1.0	0.898696	0	0/0	0.0	0.427931	1	0/1	1.0	0.392626	1	0/1	1.0	[1, 1, 1]	15	
setA-16	0.758196	1	0/1	1.0	0.758196	1	0/1	1.0	0.635246	1	0/1	1.0	0.471312	1	1/1	1.0	[1, 1, 2]	0	303.7
setA-17	0.241072	1	0/1	1.0	0.424192	0	0/0	0.0	-	-	-	-	-	-	-	-	[]	7	
setA-19	0.562061	1	0/1	1.0	0.562061	1	0/1	1.0	0.546136	1	0/1	1.0	0.525527	1	0/1	1.0	[1, 1, 2]	0	612.0
setA-20	0.991312	1	0/1	1.0	0.991312	0	0/0	0.0	0.745954	1	0/1	1.0	0.435676	1	0/1	1.0	[1, 3, 1]	3	
