instance=setB-01  arcs=864  slots=12  cells=10368
MLU (1st component, trunc6) = 0.531282
  top1  0.531282
  top2  0.531261
  top3  0.504896
  top4  0.504892
  top5  0.499371

rank  arc    slot  saturation   from -> to
   1     42     9    0.531282   v1 -> v19
   2    308     9    0.531261   v16 -> v130
   3    309     9    0.504896   v130 -> v16
   4     43     9    0.504892   v19 -> v1
   5     42    10    0.499371   v1 -> v19
   6    308    10    0.499345   v16 -> v130
   7     43     8    0.460283   v19 -> v1
   8    308     8    0.454740   v16 -> v130
   9     43    10    0.446526   v19 -> v1
  10    309    10    0.437937   v130 -> v16
  11     42    11    0.437858   v1 -> v19
  12     42     8    0.422384   v1 -> v19
  13    309     8    0.417908   v130 -> v16
  14     42     7    0.410307   v1 -> v19
  15    308     7    0.400702   v16 -> v130
  16    309     7    0.375412   v130 -> v16
  17     43     7    0.374498   v19 -> v1
  18     42     6    0.328231   v1 -> v19
  19    308     5    0.320563   v16 -> v130
  20     42     5    0.320563   v1 -> v19
