instance=setB-01  arcs=864  slots=12  cells=10368
MLU (1st component, trunc6) = 0.531282
  top1  0.531282
  top2  0.531261
  top3  0.504904
  top4  0.504884
  top5  0.499376

rank  arc    slot  saturation   from -> to
   1     42     9    0.531282   v1 -> v19
   2    308     9    0.531261   v16 -> v130
   3    309     9    0.504904   v130 -> v16
   4     43     9    0.504884   v19 -> v1
   5     42    10    0.499376   v1 -> v19
   6    308    10    0.499340   v16 -> v130
   7     43    10    0.447917   v19 -> v1
   8    308     8    0.440521   v16 -> v130
   9     43     8    0.439770   v19 -> v1
  10    309     8    0.438421   v130 -> v16
  11     42     8    0.436603   v1 -> v19
  12    309    10    0.436546   v130 -> v16
  13    308     7    0.435719   v16 -> v130
  14     42    11    0.432957   v1 -> v19
  15     43     7    0.393215   v19 -> v1
  16     42     7    0.375290   v1 -> v19
  17    309     7    0.356695   v130 -> v16
  18    308     5    0.320584   v16 -> v130
  19     42     5    0.320542   v1 -> v19
  20     42     6    0.319006   v1 -> v19
