instance=setB-01  arcs=864  slots=12  cells=10368
MLU (1st component, trunc6) = 0.531288
  top1  0.531288
  top2  0.531255
  top3  0.504930
  top4  0.504858
  top5  0.499397

rank  arc    slot  saturation   from -> to
   1     42     9    0.531288   v1 -> v19
   2    308     9    0.531255   v16 -> v130
   3     43     9    0.504930   v19 -> v1
   4    309     9    0.504858   v130 -> v16
   5    308    10    0.499397   v16 -> v130
   6     42    10    0.499319   v1 -> v19
   7     42    11    0.456813   v1 -> v19
   8    309     8    0.446128   v130 -> v16
   9    309    10    0.445057   v130 -> v16
  10     43    10    0.439406   v19 -> v1
  11     42     8    0.439057   v1 -> v19
  12    308     8    0.438067   v16 -> v130
  13     43     8    0.432063   v19 -> v1
  14    308     7    0.405507   v16 -> v130
  15     42     7    0.405502   v1 -> v19
  16     43     7    0.393125   v19 -> v1
  17     43     5    0.375549   v19 -> v1
  18     43     6    0.367303   v19 -> v1
  19     43    11    0.357231   v19 -> v1
  20    309     7    0.356785   v130 -> v16
